path,bytes,sha256
.zenodo.json,6525,628098a5266a204fa4626f9516d96e9e02654a2a4a9fe2014547a4e48870c412
CITATION.cff,5733,25e66250a92459469aa4db12882863e5f8ef6b4ebc863b7f22e88b0144ebc494
LICENSE,1163,8cd51abf1f335b3b0751fe8e30bea365b6f733f1020f60a16bb1cb65afa20d88
NOTICE.md,912,010ee8f45ab6caed283bbc52ff716172316971d9345977711b630eb6ae3e2ca6
README.md,12901,b21495b55629d543f2436f5c91d41b522c7885f31d5019b77616b6554768e1f1
REPRODUCE.md,12759,c964154996bf7c7bb49395faaf5987864a5437e6f135a6064d173fee3164053b
docs/audits/CLEAN_BUNDLE_SMOKE_TEST_20260826.md,6874,5f6d6aa6db037494d6d79fb5798c88d870b562058f0552d73c664ea2b845b745
docs/audits/CROSS_DATASET_COMPATIBILITY_20260826.md,16418,83e4820969363936fb8c4c2775eeee13968f11f330cbc995c40ec01ef03036bb
docs/audits/EXTERNAL_DATASET_SURVEY_20260826.md,16640,a1183a0b22c5e906e03540ac546d0bad5a3c0aedf663319957fc6c76b4f0fd9e
docs/audits/EXTERNAL_DATA_PROVENANCE_20260826.md,2913,4d04d167b0f76e846907781b53d4936e6d6f28c1a3e06de2b4d592a2688d0055
docs/audits/EXTERNAL_SEMANTIC_ARTIFACT_AUDIT_20260826.md,8216,10023c8998299208e8d09f4eceab42d7fd2ab05d855f9d241b0d1bfb99236f35
docs/audits/FRONTIER_NOVELTY_AUDIT_20260826.md,13775,bfc3fcaad90ea38d3ec6565997df2ad2c3df25807b41092eb0a28970e260eeb3
docs/audits/SWE_REVIEW_CHAT_DATA_QUALITY_20260826.md,6237,3e39c11a8db33a78602f54c25c362bae80b8a9ab418317acbc3b88e9c09356f3
docs/audits/SWE_REVIEW_CHAT_EXACT_EDGE_PILOT_20260826.md,3710,6b7ee87bf2dbf3f0ef17fe7dd89b50fbaf50a6634e003869d0ab846818fbe0e0
docs/audits/VALIDATION_REPORT.md,6119,490bd46a3035a8996cdb9dbd747ed1cf2edbe6d1180018e02c334cde371eb0e5
docs/decisions/CROSS_FEEDBACK_PIVOT_2026-08-25.md,2816,a6130259180ca71a77d8edf8602f5e6f2b2d440cc7b3bf8fe073bf36f2f090d2
docs/decisions/EXPERIMENT_DECISION_2026-08-25.md,3707,c2188780ab1158ad4b0091e97b78e0cb9c84c38998c1f633cefb5ff8f9669816
docs/decisions/FEEDBACK_ROUTING_MODEL_DECISION.md,1869,14cdccf6efe6338cc8212687bf95a9abcc9b05cb6ecb1f4d001b8e040f6b166f
docs/decisions/INSIGHT_DECISION.md,3000,10d554c32e313272066d70544cce3f6eb558a7a338545fcf0717c1873615bdd3
docs/decisions/INSIGHT_NOVELTY_DECISION_20260826.md,6475,653ed258aaf08db0d3454d0ce4d072a4df6557a59319288a057bf9c501830698
docs/decisions/MATCHED_ADOPTION_EXPLORATION_2026-08-25.md,2605,26fe6f6d0b4f6abbf3b2b51b39048ad6f4a820d6c9db1ab2f989cd911fe22803
docs/decisions/NOVELTY_AUDIT.md,3032,e6d9efc05d00c951cf3d1d93d942501b288a2831f39f8c76cc433e9d0755e489
docs/decisions/NOVELTY_POSITION_20260826.md,4764,bc06578653cab9b176b228438ce8906a412b67fee7fe0e556ac5608900095af0
