failed_id,successor_id,repo_url,transition_mode,prior_agent,current_agent,same_contributor,changed_agent,days_to_successor,shared_files,shared_non_generic_files,example_shared_file,recovered_within_30d,failed_prs_per_successor,prior_title,successor_title,prior_url,successor_url,path_type,manual_same_task,manual_intentional_handoff,manual_confidence,manual_note
3055717125,3092758067,https://api.github.com/repos/liam-hq/liam,different contributor / different agent,Devin,OpenAI_Codex,False,True,0.13564814814814813,1,0,pnpm-lock.yaml,True,3,feat: add tseslint.configs.recommendedTypeChecked and remove no-unsafe-member-access rule,Move figma-to-css-variables package,https://github.com/liam-hq/liam/pull/1657,https://github.com/liam-hq/liam/pull/1787,generic_only,,,,
3072396145,3079303421,https://api.github.com/repos/giselles-ai/giselle,different contributor / different agent,OpenAI_Codex,Claude_Code,False,True,0.10103009259259259,1,0,pnpm-lock.yaml,False,2,Add copyItem method to blob-storage,feat: implement Query Node with RAG functionality and Vector Store integration,https://github.com/giselles-ai/giselle/pull/859,https://github.com/giselles-ai/giselle/pull/909,generic_only,,,,
3154734636,3158903949,https://api.github.com/repos/openai/openai-agents-js,different contributor / different agent,Claude_Code,OpenAI_Codex,False,True,1.3270138888888887,1,0,pnpm-lock.yaml,True,2,Draft: [Feat] AG-UI,fix Twilio handoff audio format,https://github.com/openai/openai-agents-js/pull/119,https://github.com/openai/openai-agents-js/pull/126,generic_only,,,,
3275308227,3375299260,https://api.github.com/repos/AgentOps-AI/agentops,different contributor / different agent,Devin,OpenAI_Codex,False,True,25.694930555555555,1,0,README.md,True,1,Update README.md with latest AgentOps integrations and features,docs: highlight open source links,https://github.com/AgentOps-AI/agentops/pull/1183,https://github.com/AgentOps-AI/agentops/pull/1236,generic_only,,,,
3352548956,3970578016,https://api.github.com/repos/Agoric/agoric-sdk,different contributor / different agent,Copilot,OpenAI_Codex,False,True,2.0919328703703703,1,0,yarn.lock,True,2,test: upgrade AVA from v5 to v6 for packages that don't require patches,upgrade Telescope to v2 and dedupe client-utils,https://github.com/Agoric/agoric-sdk/pull/11810,https://github.com/Agoric/agoric-sdk/pull/12501,generic_only,,,,
3471952813,3562672465,https://api.github.com/repos/PrefectHQ/fastmcp,different contributor / different agent,Claude_Code,Copilot,False,True,27.157314814814814,1,0,README.md,False,1,Add Production Showcase: Roundtable MCP Server - Premier FastMCP Implementation,Fix lowest-direct dependency tests to actually test minimum versions,https://github.com/PrefectHQ/fastmcp/pull/1976,https://github.com/PrefectHQ/fastmcp/pull/2295,generic_only,,,,
3498777890,3521169323,https://api.github.com/repos/tbsalling/aismessages,different contributor / different agent,OpenAI_Codex,Copilot,False,True,6.91443287037037,1,0,README.md,True,1,Document completion of Java 25 upgrade plan,"Update README.md: version to 4.0.0-SNAPSHOT, remove lazy decoding term and dead Port of Rotterdam links",https://github.com/tbsalling/aismessages/pull/64,https://github.com/tbsalling/aismessages/pull/69,generic_only,,,,
3522729723,3525578650,https://api.github.com/repos/intellectronica/ruler,different contributor / different agent,Copilot,OpenAI_Codex,False,True,0.7335532407407407,1,0,README.md,True,1,"Fix agent name consistency in README: Change ""AGENTS.md"" to ""AgentsMd""",Update README for nested mode configuration behavior,https://github.com/intellectronica/ruler/pull/263,https://github.com/intellectronica/ruler/pull/270,generic_only,,,,
3569590088,3664377922,https://api.github.com/repos/PostHog/posthog.com,different contributor / different agent,OpenAI_Codex,Copilot,False,True,25.185243055555553,1,0,src/templates/Changelog.tsx,True,1,Ensure changelog anchors use hash permalinks,Update project structure documentation for PostHog/posthog repo,https://github.com/PostHog/posthog.com/pull/13450,https://github.com/PostHog/posthog.com/pull/13849,generic_only,,,,
3617239051,3622046346,https://api.github.com/repos/intellectronica/ruler,different contributor / different agent,Claude_Code,Copilot,False,True,1.032199074074074,1,0,README.md,True,1,"feat: Cursor mode, skill generation from rules, and enhanced MCP handling",Fix OpenCode agent name capitalization in README table,https://github.com/intellectronica/ruler/pull/299,https://github.com/intellectronica/ruler/pull/300,generic_only,,,,
