threshold_hours,specification,excluded_ordered_product_pair,excluded_prs,excluded_exposed_prs,n_prs,repositories,exposed_prs,estimate,ci_low,ci_high,p_value
1,A_pretrigger_only,Claude_Code -> Copilot,170,13,897,400,49,0.20486030386541182,0.06977206483098933,0.33994854289983434,0.0029560590644912075
1,A_pretrigger_only,Claude_Code -> Cursor,61,3,1006,450,59,0.1848700694217945,0.05455475485691258,0.3151853839866764,0.00542791776730301
1,A_pretrigger_only,Claude_Code -> Devin,1,0,1066,468,62,0.17937572722887846,0.055839393401335466,0.30291206105642143,0.004428844976817625
1,A_pretrigger_only,Claude_Code -> OpenAI_Codex,29,3,1038,465,59,0.16835178309502027,0.042924630069240605,0.29377893612079997,0.008520477894263322
1,A_pretrigger_only,Copilot -> Claude_Code,1,0,1066,468,62,0.1760248997357699,0.05191277955589976,0.30013701991564,0.005439833506835976
1,A_pretrigger_only,Copilot -> Cursor,32,3,1035,459,59,0.17652625286782553,0.050538192364830176,0.3025143133708209,0.006029483150782784
1,A_pretrigger_only,Copilot -> Devin,2,0,1065,468,62,0.17776286796259946,0.05404571787811904,0.3014800180470799,0.004859958507097725
1,A_pretrigger_only,Copilot -> OpenAI_Codex,57,5,1010,443,57,0.16625036637557286,0.040315877298076425,0.29218485545306927,0.009669917405004223
1,A_pretrigger_only,Cursor -> Claude_Code,11,4,1056,466,58,0.20028776262936343,0.07686747115216362,0.3237080541065632,0.0014694483356743925
1,A_pretrigger_only,Cursor -> Copilot,82,1,985,437,61,0.17394473848377165,0.04779441234608295,0.30009506462146035,0.006881334767364917
1,A_pretrigger_only,Cursor -> Devin,1,0,1066,469,62,0.17998750540780864,0.05650654352962062,0.30346846728599663,0.004278413266597561
1,A_pretrigger_only,Cursor -> OpenAI_Codex,50,1,1017,460,61,0.18494922077646375,0.05997225540321033,0.3099261861497172,0.0037258568667947953
1,A_pretrigger_only,Devin -> Claude_Code,1,0,1066,469,62,0.18399966021771683,0.06138523332631274,0.3066140871091209,0.0032695064010507297
1,A_pretrigger_only,Devin -> Copilot,22,2,1045,461,60,0.17030836127201748,0.043085078070959404,0.29753164447307556,0.00869752906852599
1,A_pretrigger_only,Devin -> Cursor,37,2,1030,463,60,0.18777996861046656,0.06166325904888481,0.3138966781720483,0.0035198511099317938
1,A_pretrigger_only,Google_Jules -> Copilot,10,1,1057,464,61,0.17143075714655126,0.04667139728234544,0.2961901170107571,0.007077626516340829
1,A_pretrigger_only,Google_Jules -> OpenAI_Codex,4,0,1063,467,62,0.18129599252861595,0.05776178375436934,0.30483020130286254,0.004022415053400864
1,A_pretrigger_only,OpenAI_Codex -> Claude_Code,5,1,1062,467,61,0.19510162076222173,0.07306217062185943,0.31714107090258403,0.001728240044177042
1,A_pretrigger_only,OpenAI_Codex -> Copilot,405,19,662,287,43,0.16584158003760224,0.015631830837016775,0.3160513292381877,0.03046964983967091
1,A_pretrigger_only,OpenAI_Codex -> Cursor,70,2,997,442,60,0.1627311094658316,0.034974025795067254,0.29048819313659596,0.012542136627266446
1,A_pretrigger_only,OpenAI_Codex -> Devin,16,2,1051,462,60,0.19335544748427647,0.06716144078368996,0.31954945418486297,0.002672690163779038
1,B_route_decomposition,Claude_Code -> Copilot,170,13,897,400,49,0.15772191476007347,0.01597370039000201,0.2994701291301449,0.029195724369141307
1,B_route_decomposition,Claude_Code -> Cursor,61,3,1006,450,59,0.13955916634706453,0.010217453369806312,0.2689008793243227,0.03444759998717934
1,B_route_decomposition,Claude_Code -> Devin,1,0,1066,468,62,0.12972578695831108,0.005222639295971859,0.2542289346206503,0.04113365395872957
1,B_route_decomposition,Claude_Code -> OpenAI_Codex,29,3,1038,465,59,0.12089615653160216,-0.004210772649541117,0.24600308571274543,0.05822544613681777
1,B_route_decomposition,Copilot -> Claude_Code,1,0,1066,468,62,0.12677826666650674,0.001554597372412564,0.25200193596060094,0.04722284241166782
1,B_route_decomposition,Copilot -> Cursor,32,3,1035,459,59,0.1290068711462162,0.001711556614950982,0.2563021856774814,0.04699815890029873
1,B_route_decomposition,Copilot -> Devin,2,0,1065,468,62,0.12927313739850846,0.004584249388429856,0.25396202540858703,0.04215132336633536
1,B_route_decomposition,Copilot -> OpenAI_Codex,57,5,1010,443,57,0.11662590525549049,-0.010461281171118025,0.243713091682099,0.07207754260635156
1,B_route_decomposition,Cursor -> Claude_Code,11,4,1056,466,58,0.1488441104032564,0.022056700551274788,0.275631520255238,0.02139552531178271
1,B_route_decomposition,Cursor -> Copilot,82,1,985,437,61,0.11838466996884445,-0.008018694080399513,0.2447880340180884,0.06641253491825255
1,B_route_decomposition,Cursor -> Devin,1,0,1066,469,62,0.1299283062121256,0.005403635976034965,0.2544529764482162,0.04085339336133013
1,B_route_decomposition,Cursor -> OpenAI_Codex,50,1,1017,460,61,0.13452954490375413,0.007896533967325536,0.2611625558401827,0.03732578612282613
1,B_route_decomposition,Devin -> Claude_Code,1,0,1066,469,62,0.13415186838054982,0.01074909243706175,0.2575546443240379,0.03311484323684897
1,B_route_decomposition,Devin -> Copilot,22,2,1045,461,60,0.12907963864200567,0.0017257474482232638,0.25643352983578804,0.04697527383635465
1,B_route_decomposition,Devin -> Cursor,37,2,1030,463,60,0.13940797553638862,0.0131130097942804,0.2657029412784968,0.030505510065008474
1,B_route_decomposition,Google_Jules -> Copilot,10,1,1057,464,61,0.1239413236826704,-0.0018345487009752831,0.2497171960663161,0.05343654212174163
1,B_route_decomposition,Google_Jules -> OpenAI_Codex,4,0,1063,467,62,0.1305827514097532,0.005927541533605668,0.2552379612859007,0.04005675203360444
1,B_route_decomposition,OpenAI_Codex -> Claude_Code,5,1,1062,467,61,0.145923640694533,0.022748982818624197,0.2690982985704418,0.020235766487474435
1,B_route_decomposition,OpenAI_Codex -> Copilot,405,19,662,287,43,0.06459289060460056,-0.08657805910909104,0.21576384031829215,0.40233362188275335
1,B_route_decomposition,OpenAI_Codex -> Cursor,70,2,997,442,60,0.12096225982349132,-0.006645731579070724,0.24857025122605336,0.06318456820096661
1,B_route_decomposition,OpenAI_Codex -> Devin,16,2,1051,462,60,0.1460881123764047,0.019224046710000164,0.27295217804280925,0.024010418074833926
6,A_pretrigger_only,Claude_Code -> Copilot,170,16,897,400,70,0.21150457777134346,0.09491355489069524,0.32809560065199167,0.00037723665998407675
6,A_pretrigger_only,Claude_Code -> Cursor,61,4,1006,450,82,0.20023647114496052,0.084181320764963,0.31629162152495804,0.0007205556093779185
6,A_pretrigger_only,Claude_Code -> Devin,1,0,1066,468,86,0.18377358780066255,0.07317968499357227,0.2943674906077528,0.0011264927011579251
6,A_pretrigger_only,Claude_Code -> OpenAI_Codex,29,5,1038,465,81,0.175366819058134,0.06223633621505689,0.28849730190121115,0.002379986203806637
6,A_pretrigger_only,Copilot -> Claude_Code,1,0,1066,468,86,0.18148737775335255,0.07061128427394356,0.2923634712327615,0.001335851632738661
6,A_pretrigger_only,Copilot -> Cursor,32,4,1035,459,82,0.1901375771495964,0.07799420269784346,0.3022809516013493,0.0008902539774785868
6,A_pretrigger_only,Copilot -> Devin,2,0,1065,468,86,0.18206205380466572,0.07125936717094207,0.2928647404383894,0.0012798727535444042
6,A_pretrigger_only,Copilot -> OpenAI_Codex,57,5,1010,443,81,0.17450990191507124,0.06312377275434206,0.2858960310758004,0.002135593020567156
6,A_pretrigger_only,Cursor -> Claude_Code,11,5,1056,466,81,0.192561023911803,0.07867678040821888,0.30644526741538713,0.0009197067333157588
6,A_pretrigger_only,Cursor -> Copilot,82,2,985,437,84,0.17490210258874608,0.062056666473138344,0.2877475387043538,0.0023831237046623337
6,A_pretrigger_only,Cursor -> Devin,1,0,1066,469,86,0.18448515430456505,0.07401293684426483,0.29495737176486525,0.0010638286519315664
6,A_pretrigger_only,Cursor -> OpenAI_Codex,50,2,1017,460,84,0.17902171515383242,0.06709063868870048,0.29095279161896437,0.0017199972330200451
6,A_pretrigger_only,Devin -> Claude_Code,1,0,1066,469,86,0.18784405239206478,0.07773425168011183,0.29795385310401773,0.0008268684376077055
6,A_pretrigger_only,Devin -> Copilot,22,2,1045,461,84,0.17637304217678224,0.0628934020963269,0.2898526822572376,0.002317323560911066
6,A_pretrigger_only,Devin -> Cursor,37,2,1030,463,84,0.1889030877686642,0.07635033116334694,0.3014558443739815,0.0010036252818860596
6,A_pretrigger_only,Google_Jules -> Copilot,10,1,1057,464,85,0.1785117625018458,0.06690728196762358,0.29011624303606803,0.0017187207046612685
6,A_pretrigger_only,Google_Jules -> OpenAI_Codex,4,0,1063,467,86,0.18567815019537703,0.07520990266183579,0.29614639772891826,0.0009864508199786191
6,A_pretrigger_only,OpenAI_Codex -> Claude_Code,5,1,1062,467,85,0.19741873236732627,0.08779582689394516,0.30704163784070737,0.0004160650337968733
6,A_pretrigger_only,OpenAI_Codex -> Copilot,405,29,662,287,57,0.20031146178338904,0.06909212037082554,0.3315308031959525,0.0027719098824404826
6,A_pretrigger_only,OpenAI_Codex -> Cursor,70,4,997,442,82,0.159292220958006,0.04416123932236285,0.27442320259364916,0.006692803862367037
