author_agent,trigger_reviewer_agent,trigger_source,prs,response_rate,direct_reply_rate,force_push_rate,merge_within_7d_rate
OpenAI_Codex,Copilot,inline_review_comment,1988,0.6167002012072434,0.12374245472837023,0.11770623742454728,0.6851106639839034
OpenAI_Codex,Copilot,submitted_review,1030,0.5174757281553398,0.0,0.09611650485436893,0.8038834951456311
OpenAI_Codex,Claude_Code,pr_comment,749,0.6942590120160214,0.0,0.12283044058744993,0.787716955941255
Claude_Code,Copilot,inline_review_comment,732,0.6612021857923497,0.15027322404371585,0.27049180327868855,0.7431693989071039
Cursor,Copilot,inline_review_comment,358,0.5893854748603352,0.055865921787709494,0.164804469273743,0.7262569832402235
Devin,Copilot,inline_review_comment,271,0.7084870848708487,0.16236162361623616,0.04428044280442804,0.9261992619926199
OpenAI_Codex,Cursor,inline_review_comment,263,0.6615969581749049,0.08745247148288973,0.10266159695817491,0.6273764258555133
Claude_Code,Copilot,submitted_review,245,0.5836734693877551,0.0,0.17959183673469387,0.8204081632653061
Copilot,OpenAI_Codex,inline_review_comment,240,0.775,0.19166666666666668,0.03333333333333333,0.6583333333333333
Claude_Code,Cursor,inline_review_comment,199,0.8442211055276382,0.10050251256281408,0.4321608040201005,0.7236180904522613
Copilot,Claude_Code,pr_comment,161,0.7577639751552795,0.0,0.031055900621118012,0.5714285714285714
Devin,Copilot,submitted_review,159,0.8679245283018868,0.0,0.06289308176100629,0.9056603773584906
Copilot,OpenAI_Codex,pr_comment,149,0.6442953020134228,0.0,0.040268456375838924,0.8657718120805369
OpenAI_Codex,Devin,submitted_review,145,0.6068965517241379,0.0,0.1310344827586207,0.8344827586206897
Google_Jules,Copilot,inline_review_comment,142,0.6197183098591549,0.1619718309859155,0.07042253521126761,0.8943661971830986
Cursor,Copilot,submitted_review,133,0.6992481203007519,0.0,0.09022556390977443,0.8120300751879699
OpenAI_Codex,Devin,inline_review_comment,110,0.8909090909090909,0.6272727272727273,0.18181818181818182,0.7545454545454545
Google_Jules,OpenAI_Codex,pr_comment,104,0.04807692307692308,0.0,0.0,0.8173076923076923
Cursor,OpenAI_Codex,inline_review_comment,103,0.7184466019417476,0.08737864077669903,0.04854368932038835,0.44660194174757284
OpenAI_Codex,Cursor,submitted_review,96,0.625,0.0,0.0625,0.6145833333333334
Claude_Code,OpenAI_Codex,inline_review_comment,95,0.7052631578947368,0.22105263157894736,0.3157894736842105,0.47368421052631576
Cursor,Claude_Code,pr_comment,90,0.7,0.0,0.044444444444444446,0.6
Copilot,Cursor,inline_review_comment,89,0.7640449438202247,0.19101123595505617,0.02247191011235955,0.6629213483146067
Copilot,Cursor,pr_comment,87,0.6091954022988506,0.0,0.05747126436781609,0.7586206896551724
OpenAI_Codex,Cursor,pr_comment,69,0.7246376811594203,0.0,0.08695652173913043,0.6811594202898551
Devin,Claude_Code,pr_comment,61,0.6885245901639344,0.0,0.01639344262295082,0.4098360655737705
Devin,Cursor,inline_review_comment,52,0.6923076923076923,0.09615384615384616,0.038461538461538464,0.21153846153846154
Devin,Cursor,submitted_review,51,0.6470588235294118,0.0,0.0196078431372549,0.6470588235294118
Devin,OpenAI_Codex,inline_review_comment,51,0.8627450980392157,0.7254901960784313,0.0,0.9607843137254902
Cursor,Claude_Code,inline_review_comment,47,0.8085106382978723,0.5957446808510638,0.02127659574468085,0.6808510638297872
OpenAI_Codex,Claude_Code,inline_review_comment,46,0.6304347826086957,0.15217391304347827,0.08695652173913043,0.5434782608695652
Copilot,Cursor,submitted_review,44,0.7272727272727273,0.0,0.022727272727272728,0.7272727272727273
Claude_Code,Cursor,submitted_review,37,0.7837837837837838,0.0,0.3783783783783784,0.7567567567567568
Claude_Code,OpenAI_Codex,pr_comment,31,0.5806451612903226,0.0,0.16129032258064516,0.2903225806451613
Claude_Code,Devin,submitted_review,30,0.9,0.0,0.7666666666666667,0.9666666666666667
OpenAI_Codex,Claude_Code,submitted_review,29,0.4827586206896552,0.0,0.034482758620689655,0.6206896551724138
Google_Jules,Copilot,submitted_review,28,0.32142857142857145,0.0,0.0,0.8214285714285714
Cursor,OpenAI_Codex,pr_comment,28,0.6428571428571429,0.0,0.03571428571428571,0.5714285714285714
Copilot,OpenAI_Codex,submitted_review,28,0.7857142857142857,0.0,0.10714285714285714,0.6785714285714286
Devin,OpenAI_Codex,submitted_review,22,0.9545454545454546,0.0,0.0,1.0
OpenAI_Codex,Copilot,pr_comment,18,0.6111111111111112,0.0,0.1111111111111111,0.7777777777777778
Google_Jules,Claude_Code,pr_comment,16,0.5,0.0,0.0,0.75
Cursor,OpenAI_Codex,submitted_review,14,0.8571428571428571,0.0,0.14285714285714285,0.42857142857142855
Claude_Code,Copilot,pr_comment,14,0.5714285714285714,0.0,0.07142857142857142,0.7142857142857143
Cursor,Claude_Code,submitted_review,14,0.7142857142857143,0.0,0.07142857142857142,0.6428571428571429
Devin,Cursor,pr_comment,14,0.5,0.0,0.0,0.2857142857142857
Copilot,Claude_Code,submitted_review,13,0.7692307692307693,0.0,0.0,0.9230769230769231
Devin,Claude_Code,submitted_review,13,0.6923076923076923,0.0,0.0,0.38461538461538464
Cursor,Devin,submitted_review,11,0.9090909090909091,0.0,0.09090909090909091,0.7272727272727273
Devin,Claude_Code,inline_review_comment,11,0.8181818181818182,0.0,0.09090909090909091,0.7272727272727273
Claude_Code,OpenAI_Codex,submitted_review,11,0.7272727272727273,0.0,0.18181818181818182,0.36363636363636365
Copilot,Devin,submitted_review,10,0.3,0.0,0.0,0.6
Google_Jules,Devin,submitted_review,9,1.0,0.0,0.0,0.8888888888888888
