pair_id,treated_repo,control_repo,onset_month,event_month,log_pr_difference,pr_count_difference,merged_count_difference,baseline_log_pr_difference,baseline_pr_count_difference,baseline_merged_count_difference,log_pr_did,pr_count_did,merged_count_did
0,https://api.github.com/repos/AltimateAI/vscode-dbt-power-user,https://api.github.com/repos/Shopify/cli,2025-10-01 00:00:00+00:00,-3,0.15415067982725827,1.0,-1.0,0.2876820724517808,1.0,2.0,-0.13353139262452252,0.0,-3.0
0,https://api.github.com/repos/AltimateAI/vscode-dbt-power-user,https://api.github.com/repos/Shopify/cli,2025-10-01 00:00:00+00:00,-2,0.0,0.0,1.0,0.2876820724517808,1.0,2.0,-0.2876820724517808,-1.0,-1.0
0,https://api.github.com/repos/AltimateAI/vscode-dbt-power-user,https://api.github.com/repos/Shopify/cli,2025-10-01 00:00:00+00:00,-1,0.2876820724517808,1.0,2.0,0.2876820724517808,1.0,2.0,0.0,0.0,0.0
0,https://api.github.com/repos/AltimateAI/vscode-dbt-power-user,https://api.github.com/repos/Shopify/cli,2025-10-01 00:00:00+00:00,0,0.2231435513142097,1.0,-1.0,0.2876820724517808,1.0,2.0,-0.06453852113757108,0.0,-3.0
0,https://api.github.com/repos/AltimateAI/vscode-dbt-power-user,https://api.github.com/repos/Shopify/cli,2025-10-01 00:00:00+00:00,1,0.6931471805599453,1.0,1.0,0.2876820724517808,1.0,2.0,0.4054651081081645,0.0,-1.0
0,https://api.github.com/repos/AltimateAI/vscode-dbt-power-user,https://api.github.com/repos/Shopify/cli,2025-10-01 00:00:00+00:00,2,0.916290731874155,3.0,3.0,0.2876820724517808,1.0,2.0,0.6286086594223742,2.0,1.0
0,https://api.github.com/repos/AltimateAI/vscode-dbt-power-user,https://api.github.com/repos/Shopify/cli,2025-10-01 00:00:00+00:00,3,0.916290731874155,3.0,1.0,0.2876820724517808,1.0,2.0,0.6286086594223742,2.0,-1.0
1,https://api.github.com/repos/CherryHQ/cherry-studio,https://api.github.com/repos/xerial/sbt-pack,2025-10-01 00:00:00+00:00,-3,0.33647223662121295,2.0,1.0,0.4054651081081645,1.0,-1.0,-0.06899287148695155,1.0,2.0
1,https://api.github.com/repos/CherryHQ/cherry-studio,https://api.github.com/repos/xerial/sbt-pack,2025-10-01 00:00:00+00:00,-2,-0.2876820724517808,-1.0,2.0,0.4054651081081645,1.0,-1.0,-0.6931471805599453,-2.0,3.0
1,https://api.github.com/repos/CherryHQ/cherry-studio,https://api.github.com/repos/xerial/sbt-pack,2025-10-01 00:00:00+00:00,-1,0.4054651081081645,1.0,-1.0,0.4054651081081645,1.0,-1.0,0.0,0.0,0.0
1,https://api.github.com/repos/CherryHQ/cherry-studio,https://api.github.com/repos/xerial/sbt-pack,2025-10-01 00:00:00+00:00,0,2.3978952727983707,10.0,4.0,0.4054651081081645,1.0,-1.0,1.992430164690206,9.0,5.0
1,https://api.github.com/repos/CherryHQ/cherry-studio,https://api.github.com/repos/xerial/sbt-pack,2025-10-01 00:00:00+00:00,1,3.6635616461296463,38.0,32.0,0.4054651081081645,1.0,-1.0,3.2580965380214817,37.0,33.0
1,https://api.github.com/repos/CherryHQ/cherry-studio,https://api.github.com/repos/xerial/sbt-pack,2025-10-01 00:00:00+00:00,2,3.5553480614894135,34.0,28.0,0.4054651081081645,1.0,-1.0,3.149882953381249,33.0,29.0
1,https://api.github.com/repos/CherryHQ/cherry-studio,https://api.github.com/repos/xerial/sbt-pack,2025-10-01 00:00:00+00:00,3,3.4965075614664802,32.0,29.0,0.4054651081081645,1.0,-1.0,3.0910424533583156,31.0,30.0
2,https://api.github.com/repos/Deep-Learning-Profiling-Tools/triton-viz,https://api.github.com/repos/inference-gateway/inference-gateway,2025-10-01 00:00:00+00:00,-3,-0.24116205681688774,-3.0,-4.0,0.0,0.0,0.0,-0.24116205681688774,-3.0,-4.0
2,https://api.github.com/repos/Deep-Learning-Profiling-Tools/triton-viz,https://api.github.com/repos/inference-gateway/inference-gateway,2025-10-01 00:00:00+00:00,-2,-0.18232155679395468,-1.0,-1.0,0.0,0.0,0.0,-0.18232155679395468,-1.0,-1.0
2,https://api.github.com/repos/Deep-Learning-Profiling-Tools/triton-viz,https://api.github.com/repos/inference-gateway/inference-gateway,2025-10-01 00:00:00+00:00,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,https://api.github.com/repos/Deep-Learning-Profiling-Tools/triton-viz,https://api.github.com/repos/inference-gateway/inference-gateway,2025-10-01 00:00:00+00:00,0,1.6094379124341003,4.0,1.0,0.0,0.0,0.0,1.6094379124341003,4.0,1.0
2,https://api.github.com/repos/Deep-Learning-Profiling-Tools/triton-viz,https://api.github.com/repos/inference-gateway/inference-gateway,2025-10-01 00:00:00+00:00,1,-1.8718021769015913,-11.0,-10.0,0.0,0.0,0.0,-1.8718021769015913,-11.0,-10.0
2,https://api.github.com/repos/Deep-Learning-Profiling-Tools/triton-viz,https://api.github.com/repos/inference-gateway/inference-gateway,2025-10-01 00:00:00+00:00,2,-0.6931471805599453,-1.0,0.0,0.0,0.0,0.0,-0.6931471805599453,-1.0,0.0
2,https://api.github.com/repos/Deep-Learning-Profiling-Tools/triton-viz,https://api.github.com/repos/inference-gateway/inference-gateway,2025-10-01 00:00:00+00:00,3,-0.6931471805599453,-1.0,0.0,0.0,0.0,0.0,-0.6931471805599453,-1.0,0.0
3,https://api.github.com/repos/TechForPalestine/website,https://api.github.com/repos/tanu-rs/tanu,2025-10-01 00:00:00+00:00,-3,0.18232155679395468,1.0,1.0,0.0,0.0,-1.0,0.18232155679395468,1.0,2.0
3,https://api.github.com/repos/TechForPalestine/website,https://api.github.com/repos/tanu-rs/tanu,2025-10-01 00:00:00+00:00,-2,0.5108256237659905,8.0,9.0,0.0,0.0,-1.0,0.5108256237659905,8.0,10.0
3,https://api.github.com/repos/TechForPalestine/website,https://api.github.com/repos/tanu-rs/tanu,2025-10-01 00:00:00+00:00,-1,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0
3,https://api.github.com/repos/TechForPalestine/website,https://api.github.com/repos/tanu-rs/tanu,2025-10-01 00:00:00+00:00,0,1.3862943611198906,3.0,3.0,0.0,0.0,-1.0,1.3862943611198906,3.0,4.0
3,https://api.github.com/repos/TechForPalestine/website,https://api.github.com/repos/tanu-rs/tanu,2025-10-01 00:00:00+00:00,1,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,1.0
3,https://api.github.com/repos/TechForPalestine/website,https://api.github.com/repos/tanu-rs/tanu,2025-10-01 00:00:00+00:00,2,-1.3862943611198906,-3.0,-3.0,0.0,0.0,-1.0,-1.3862943611198906,-3.0,-2.0
3,https://api.github.com/repos/TechForPalestine/website,https://api.github.com/repos/tanu-rs/tanu,2025-10-01 00:00:00+00:00,3,-1.0986122886681096,-4.0,-4.0,0.0,0.0,-1.0,-1.0986122886681096,-4.0,-3.0
4,https://api.github.com/repos/campfirein/byterover-cli,https://api.github.com/repos/cagnulein/qdomyos-zwift,2025-10-01 00:00:00+00:00,-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,https://api.github.com/repos/campfirein/byterover-cli,https://api.github.com/repos/cagnulein/qdomyos-zwift,2025-10-01 00:00:00+00:00,-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,https://api.github.com/repos/campfirein/byterover-cli,https://api.github.com/repos/cagnulein/qdomyos-zwift,2025-10-01 00:00:00+00:00,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,https://api.github.com/repos/campfirein/byterover-cli,https://api.github.com/repos/cagnulein/qdomyos-zwift,2025-10-01 00:00:00+00:00,0,1.6094379124341003,4.0,1.0,0.0,0.0,0.0,1.6094379124341003,4.0,1.0
4,https://api.github.com/repos/campfirein/byterover-cli,https://api.github.com/repos/cagnulein/qdomyos-zwift,2025-10-01 00:00:00+00:00,1,-1.0986122886681098,-2.0,0.0,0.0,0.0,0.0,-1.0986122886681098,-2.0,0.0
4,https://api.github.com/repos/campfirein/byterover-cli,https://api.github.com/repos/cagnulein/qdomyos-zwift,2025-10-01 00:00:00+00:00,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,https://api.github.com/repos/campfirein/byterover-cli,https://api.github.com/repos/cagnulein/qdomyos-zwift,2025-10-01 00:00:00+00:00,3,-0.6931471805599453,-1.0,0.0,0.0,0.0,0.0,-0.6931471805599453,-1.0,0.0
5,https://api.github.com/repos/kaichen/kimicc,https://api.github.com/repos/pab1it0/prometheus-mcp-server,2025-10-01 00:00:00+00:00,-3,0.0,0.0,1.0,0.2876820724517808,1.0,1.0,-0.2876820724517808,-1.0,0.0
5,https://api.github.com/repos/kaichen/kimicc,https://api.github.com/repos/pab1it0/prometheus-mcp-server,2025-10-01 00:00:00+00:00,-2,0.0,0.0,-1.0,0.2876820724517808,1.0,1.0,-0.2876820724517808,-1.0,-2.0
5,https://api.github.com/repos/kaichen/kimicc,https://api.github.com/repos/pab1it0/prometheus-mcp-server,2025-10-01 00:00:00+00:00,-1,0.2876820724517808,1.0,1.0,0.2876820724517808,1.0,1.0,0.0,0.0,0.0
5,https://api.github.com/repos/kaichen/kimicc,https://api.github.com/repos/pab1it0/prometheus-mcp-server,2025-10-01 00:00:00+00:00,0,1.0986122886681098,2.0,0.0,0.2876820724517808,1.0,1.0,0.810930216216329,1.0,-1.0
5,https://api.github.com/repos/kaichen/kimicc,https://api.github.com/repos/pab1it0/prometheus-mcp-server,2025-10-01 00:00:00+00:00,1,0.0,0.0,0.0,0.2876820724517808,1.0,1.0,-0.2876820724517808,-1.0,-1.0
5,https://api.github.com/repos/kaichen/kimicc,https://api.github.com/repos/pab1it0/prometheus-mcp-server,2025-10-01 00:00:00+00:00,2,0.0,0.0,0.0,0.2876820724517808,1.0,1.0,-0.2876820724517808,-1.0,-1.0
5,https://api.github.com/repos/kaichen/kimicc,https://api.github.com/repos/pab1it0/prometheus-mcp-server,2025-10-01 00:00:00+00:00,3,0.0,0.0,0.0,0.2876820724517808,1.0,1.0,-0.2876820724517808,-1.0,-1.0
6,https://api.github.com/repos/lance-format/lance,https://api.github.com/repos/SciML/SciMLBase.jl,2025-10-01 00:00:00+00:00,-3,0.3184537311185349,3.0,3.0,0.22314355131421015,2.0,-2.0,0.09531017980432477,1.0,5.0
6,https://api.github.com/repos/lance-format/lance,https://api.github.com/repos/SciML/SciMLBase.jl,2025-10-01 00:00:00+00:00,-2,-0.2876820724517808,-2.0,2.0,0.22314355131421015,2.0,-2.0,-0.5108256237659909,-4.0,4.0
6,https://api.github.com/repos/lance-format/lance,https://api.github.com/repos/SciML/SciMLBase.jl,2025-10-01 00:00:00+00:00,-1,0.22314355131421015,2.0,-2.0,0.22314355131421015,2.0,-2.0,0.0,0.0,0.0
6,https://api.github.com/repos/lance-format/lance,https://api.github.com/repos/SciML/SciMLBase.jl,2025-10-01 00:00:00+00:00,0,0.6931471805599452,3.0,0.0,0.22314355131421015,2.0,-2.0,0.470003629245735,1.0,2.0
6,https://api.github.com/repos/lance-format/lance,https://api.github.com/repos/SciML/SciMLBase.jl,2025-10-01 00:00:00+00:00,1,0.0,0.0,0.0,0.22314355131421015,2.0,-2.0,-0.22314355131421015,-2.0,2.0
6,https://api.github.com/repos/lance-format/lance,https://api.github.com/repos/SciML/SciMLBase.jl,2025-10-01 00:00:00+00:00,2,0.485507815781701,5.0,5.0,0.22314355131421015,2.0,-2.0,0.26236426446749084,3.0,7.0
6,https://api.github.com/repos/lance-format/lance,https://api.github.com/repos/SciML/SciMLBase.jl,2025-10-01 00:00:00+00:00,3,0.0,0.0,0.0,0.22314355131421015,2.0,-2.0,-0.22314355131421015,-2.0,2.0
7,https://api.github.com/repos/lancedb/lancedb,https://api.github.com/repos/compiler-explorer/compiler-explorer,2025-10-01 00:00:00+00:00,-3,-0.10536051565782634,-1.0,-2.0,0.0,0.0,0.0,-0.10536051565782634,-1.0,-2.0
7,https://api.github.com/repos/lancedb/lancedb,https://api.github.com/repos/compiler-explorer/compiler-explorer,2025-10-01 00:00:00+00:00,-2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
7,https://api.github.com/repos/lancedb/lancedb,https://api.github.com/repos/compiler-explorer/compiler-explorer,2025-10-01 00:00:00+00:00,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,https://api.github.com/repos/lancedb/lancedb,https://api.github.com/repos/compiler-explorer/compiler-explorer,2025-10-01 00:00:00+00:00,0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0
7,https://api.github.com/repos/lancedb/lancedb,https://api.github.com/repos/compiler-explorer/compiler-explorer,2025-10-01 00:00:00+00:00,1,2.0794415416798357,14.0,5.0,0.0,0.0,0.0,2.0794415416798357,14.0,5.0
7,https://api.github.com/repos/lancedb/lancedb,https://api.github.com/repos/compiler-explorer/compiler-explorer,2025-10-01 00:00:00+00:00,2,1.7047480922384255,18.0,3.0,0.0,0.0,0.0,1.7047480922384255,18.0,3.0
7,https://api.github.com/repos/lancedb/lancedb,https://api.github.com/repos/compiler-explorer/compiler-explorer,2025-10-01 00:00:00+00:00,3,0.2363887780642302,4.0,-7.0,0.0,0.0,0.0,0.2363887780642302,4.0,-7.0
8,https://api.github.com/repos/onetimesecret/onetimesecret,https://api.github.com/repos/nextflow-io/nextflow,2025-10-01 00:00:00+00:00,-3,0.4054651081081645,1.0,2.0,0.594707107746693,13.0,11.0,-0.1892419996385285,-12.0,-9.0
8,https://api.github.com/repos/onetimesecret/onetimesecret,https://api.github.com/repos/nextflow-io/nextflow,2025-10-01 00:00:00+00:00,-2,-0.9162907318741553,-6.0,-5.0,0.594707107746693,13.0,11.0,-1.5109978396208483,-19.0,-16.0
8,https://api.github.com/repos/onetimesecret/onetimesecret,https://api.github.com/repos/nextflow-io/nextflow,2025-10-01 00:00:00+00:00,-1,0.594707107746693,13.0,11.0,0.594707107746693,13.0,11.0,0.0,0.0,0.0
8,https://api.github.com/repos/onetimesecret/onetimesecret,https://api.github.com/repos/nextflow-io/nextflow,2025-10-01 00:00:00+00:00,0,1.312186388966169,19.0,12.0,0.594707107746693,13.0,11.0,0.7174792812194759,6.0,1.0
8,https://api.github.com/repos/onetimesecret/onetimesecret,https://api.github.com/repos/nextflow-io/nextflow,2025-10-01 00:00:00+00:00,1,2.517696472610991,57.0,52.0,0.594707107746693,13.0,11.0,1.9229893648642982,44.0,41.0
8,https://api.github.com/repos/onetimesecret/onetimesecret,https://api.github.com/repos/nextflow-io/nextflow,2025-10-01 00:00:00+00:00,2,2.1400661634962708,75.0,69.0,0.594707107746693,13.0,11.0,1.5453590557495778,62.0,58.0
8,https://api.github.com/repos/onetimesecret/onetimesecret,https://api.github.com/repos/nextflow-io/nextflow,2025-10-01 00:00:00+00:00,3,-0.2682639865946794,-4.0,-1.0,0.594707107746693,13.0,11.0,-0.8629710943413724,-17.0,-12.0
