repo_url,onset,incumbent,entrant,entrant_user_id,same_contributor_entry,third_agent_within_window,n_pre,n_post,n_entrant,n_incumbent,pre_breadth,post_breadth,new_task_types,entrant_introduced_types,incumbent_introduced_types,entrant_integrated_types,incumbent_integrated_types,entrant_new_share,incumbent_new_share,entrant_rarity,incumbent_rarity,rarity_difference,entrant_pre_jsd,incumbent_pre_jsd,role_distance_jsd,rarefied_breadth_change
https://api.github.com/repos/567-labs/instructor,2025-05-16 22:33:15+00:00,Claude_Code,Devin,158243242,False,True,8,45,14,31,3,6,3,1,2,0,2,0.07142857142857142,0.1935483870967742,0.7053571428571429,0.8024193548387096,-0.09706221198156673,0.3129209673037103,0.5314279241258265,0.38899586149936805,0.234
https://api.github.com/repos/Azure/LogicAppsUX,2025-06-19 17:20:56+00:00,Copilot,Claude_Code,102700317,False,False,9,9,6,3,4,4,1,1,0,1,0,0.16666666666666666,0.0,0.7592592592592592,0.7407407407407408,0.01851851851851838,0.42506689661855873,0.48951955566409405,0.379263808220466,0.0
https://api.github.com/repos/CherryHQ/cherry-studio,2025-10-22 20:49:44+00:00,Claude_Code,Copilot,198982749,False,False,6,92,20,72,2,7,5,2,3,2,3,0.2,0.19444444444444445,0.6666666666666666,0.6527777777777779,0.013888888888888729,0.39358055970478784,0.3694484529331928,0.2204794708345498,0.81
https://api.github.com/repos/Fission-AI/OpenSpec,2025-09-10 00:56:11+00:00,Claude_Code,OpenAI_Codex,30385142,True,False,32,50,12,38,4,4,0,0,0,0,0,0.0,0.0,0.7109375,0.6735197368421053,0.03741776315789469,0.35686114024236215,0.2657523698312694,0.22999136816375498,0.0
https://api.github.com/repos/GLEECBTC/gleec-wallet,2025-07-29 12:47:50+00:00,OpenAI_Codex,Cursor,77973576,True,True,117,26,9,17,7,5,0,0,0,0,0,0.0,0.0,0.6144349477682811,0.6576168929110106,-0.04318194514272944,0.2997348050588853,0.2051889729896163,0.36202179295560505,0.702
https://api.github.com/repos/MetaMask/metamask-extension,2025-08-21 02:00:34+00:00,Cursor,Claude_Code,8112138,True,False,6,15,11,4,1,4,3,2,1,2,1,0.2727272727272727,0.75,0.2727272727272727,0.75,-0.4772727272727273,0.32454707617464174,0.6167622441821304,0.41169074839468417,1.854
https://api.github.com/repos/MetaMask/metamask-mobile,2025-08-08 23:01:25+00:00,Cursor,Claude_Code,8112138,True,False,10,20,13,7,3,4,1,0,1,0,1,0.0,0.14285714285714285,0.6076923076923078,0.6428571428571429,-0.03516483516483515,0.21119799316071008,0.29036006402730224,0.23503081703054135,0.34
https://api.github.com/repos/Significant-Gravitas/AutoGPT,2025-07-02 18:29:29+00:00,OpenAI_Codex,Claude_Code,8845353,True,True,30,69,65,4,3,3,1,1,0,1,0,0.07692307692307693,0.0,0.5584615384615386,0.5166666666666667,0.041794871794871846,0.2082256305180164,0.11407369296163025,0.16921104824597744,-0.034
https://api.github.com/repos/ai-shifu/ai-shifu,2025-05-17 03:59:35+00:00,Devin,OpenAI_Codex,255413,False,True,6,15,5,10,1,4,3,2,1,0,1,0.8,0.7,0.8,0.7,0.10000000000000009,0.6502387678692824,0.5848200475421356,0.4054371568589454,1.738
https://api.github.com/repos/aldinokemal/go-whatsapp-web-multidevice,2025-08-08 04:46:34+00:00,Cursor,OpenAI_Codex,14232125,True,False,5,5,4,1,1,4,3,3,0,3,0,1.0,0.0,1.0,0.0,1.0,0.8325546111576977,0.0,0.8325546111576977,3.0
